34164,BIOL 5089-01,M,  T    ,01/16/2024-05/07/2024,1730-2000,JONESA 102,3,CLAS,Statistical Methods in Biology,Joel T. Sharbrough,13,20,7,0,$10,Bookstore Link
34189,BIOL 5091-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Benjamin D. Duval,10,10,0,0,$10,Bookstore Link
34190,BIOL 5091-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Linda C. DeVeaux,8,10,2,0,$10,Bookstore Link
34191,BIOL 5091-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Thomas Kieft,8,10,2,0,$10,Bookstore Link
34192,BIOL 5091-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Snezna Rogelj,10,10,0,0,$10,Bookstore Link
34193,BIOL 5091-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Stewart Thompson,10,10,0,0,$10,Bookstore Link
34194,BIOL 5091-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Joel T. Sharbrough,7,10,3,0,$10,Bookstore Link
35343,BIOL 5091-07,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Daniel S. Jones,8,10,2,0,$10,Bookstore Link
35344,BMST 3000-01,M, M     ,01/16/2024-05/07/2024,1200-1250,JONESA 104,1,CLAS,Biomedical Sciences Seminar,Linda C. DeVeaux,2,12,10,0,$25,Bookstore Link
35345,BMST 4096-01,M,  T    ,01/16/2024-05/07/2024,1525-1640,WEIR 203,2,CLAS,Biomed Resrch&Design: Engineer,Mostafa Hassanalian,1,10,9,0,N/A,Bookstore Link
35330,BIOT 5002-01,M,  T R  ,01/16/2024-05/07/2024,1100-1215,SPEARE 23,3,CLAS,Molecular Biotechnology,Snezna Rogelj,12,12,0,0,N/A,Bookstore Link
35714,BIOT 5089-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,WEIR 202,3,CLAS,Biomedical Materials,Nikolai Kalugin,20,20,0,0,$30,Bookstore Link
34424,BIOT 5095-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Linda C. DeVeaux,10,10,0,0,N/A,Bookstore Link
34425,BIOT 5095-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Michaelann S. Tartis,9,10,1,0,N/A,Bookstore Link
35331,CH E 3027-01,M,  T R  ,01/16/2024-05/07/2024,0930-1045,CRAMER 127,3,CLAS,Principles Chem Eng II,Youngmin Lee,5,20,15,0,N/A,Bookstore Link
35335,CH E 3045L-01,M, M     ,01/16/2024-05/07/2024,1400-1650,JONES 201,1,CLAS,Chemical Engr. Design Lab,Sanchari Chowdhury,10,20,10,0,N/A,Bookstore Link
35341,CH E 3051-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,JONES 227,3,CLAS,Chemical Process Kinetics,Youngmin Lee,8,20,12,0,N/A,Bookstore Link
35334,CH E 3052-01,M, M W F ,01/16/2024-05/07/2024,1100-1150,JONES 227,3,CLAS,Separation Process,Jianjia Yu,9,20,11,0,N/A,Bookstore Link
35408,CH E 4008-01,M, M W   ,01/16/2024-05/07/2024,1000-1050,JONES 106,1,CLAS,Cooperative Education,Pabitra Choudhury,10,10,0,0,N/A,Bookstore Link
35337,CH E 4043-01,M, M W   ,01/16/2024-05/07/2024,1000-1050,MSEC 103,2,CLAS,Process Dynamics & Control,Sanchari Chowdhury,13,22,9,0,N/A,Bookstore Link
35339,CH E 4043L-01,M,   W   ,01/16/2024-05/07/2024,1400-1650,JONES 227,1,CLAS,Process Dynamics & Control Lab,Sanchari Chowdhury,13,22,9,0,N/A,Bookstore Link
35340,CH E 4062-01,M,  T R  ,01/16/2024-05/07/2024,1230-1345,JONES 106,3,CLAS,Plant Design, Econ, & Mgmt II,Corey A. Leclerc,7,16,9,0,N/A,Bookstore Link
35705,CH E 4078-01,M,  T R  ,01/16/2024-05/07/2024,0930-1045,SPEARE 16,3,CLAS,Transport Process Modeling,Pabitra Choudhury,8,10,2,0,$35,Bookstore Link
35782,CH E 4085-01,M, M     ,01/16/2024-05/07/2024,1200-1250,JONES 227,1,CLAS,Senior Seminar,Seth T. Price,18,25,7,0,N/A,Bookstore Link
35706,CH E 5078-01,M,  T R  ,01/16/2024-05/07/2024,0930-1045,SPEARE 16,3,CLAS,Transport Process Modeling,Pabitra Choudhury,4,10,6,0,$35,Bookstore Link
35707,CH E 5078-01D,M,  T R  ,01/16/2024-05/07/2024,0930-1045,WEB ,3,CLAS,Transport Process Modeling,Pabitra Choudhury,3,5,2,0,N/A,Bookstore Link
34293,CH E 5091-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Pabitra Choudhury,7,10,3,0,N/A,Bookstore Link
34294,CH E 5091-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Sanchari Chowdhury,8,10,2,0,N/A,Bookstore Link
34295,CH E 5091-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Corey A. Leclerc,8,10,2,0,N/A,Bookstore Link
34296,CH E 5091-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Youngmin Lee,6,10,4,0,N/A,Bookstore Link
34307,CH E 5091-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Michaelann S. Tartis,6,10,4,0,N/A,Bookstore Link
34308,CH E 5091-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Thesis,Jianjia Yu,9,10,1,0,N/A,Bookstore Link
35650,CH E 5095-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Pabitra Choudhury,10,10,0,0,N/A,Bookstore Link
35652,CH E 5095-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Sanchari Chowdhury,10,10,0,0,N/A,Bookstore Link
35653,CH E 5095-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Corey A. Leclerc,9,10,1,0,N/A,Bookstore Link
35655,CH E 5095-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Youngmin Lee,10,10,0,0,N/A,Bookstore Link
35656,CH E 5095-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Michaelann S. Tartis,10,10,0,0,N/A,Bookstore Link
35657,CH E 5095-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Dissertation,Jianjia Yu,10,10,0,0,N/A,Bookstore Link
34159,CHEM 0130-01,M,   W   ,01/16/2024-05/07/2024,1300-1350,LOPEZ 216,1,CLAS,Issues in Chem and Biochem,Jeff A. Altig,4,10,6,0,N/A,Bookstore Link
35882,CHEM 0189-01,M, M W F ,03/11/2024-05/07/2024,1000-1050, ,2,CLAS,Chemistry of Explosives,Jeff A. Altig,-2,0,2,0,N/A,Bookstore Link
34150,CHEM 0289-01,M,    R  ,01/16/2024-05/07/2024,2000-2050,LOPEZ 106,1,CLAS,Chem Literature & Media,Jeff A. Altig,1,15,14,0,N/A,Bookstore Link
34072,CHEM 1215-01,M, M W F ,01/16/2024-05/07/2024,1100-1150,LOPEZ 106,3,CLAS,General Chemistry I,Sally C. Pias,15,65,50,0,N/A,Bookstore Link
34075,CHEM 1215L-01,M,  T    ,01/16/2024-05/07/2024,1400-1630,LOPEZ 135,1,CLAS,General Chemistry I Lab,Jeff A. Altig,9,24,15,0,$155,Bookstore Link
34076,CHEM 1215L-02,M,   W   ,01/16/2024-05/07/2024,1400-1630,LOPEZ 135,1,CLAS,General Chemistry I Lab,Jeff A. Altig,1,25,24,0,$155,Bookstore Link
34077,CHEM 1215L-03,M,    R  ,01/16/2024-05/07/2024,1400-1630,LOPEZ 135,1,CLAS,General Chemistry I Lab,Jeff A. Altig,16,24,8,0,$155,Bookstore Link
34081,CHEM 1225-01,M, M W F ,01/16/2024-05/07/2024,1000-1050,LOPEZ 106,3,CLAS,General Chemistry II,Ujith S. Madduma Bandarage,0,70,70,0,N/A,Bookstore Link
35453,CHEM 1225-02,M, M W F ,01/16/2024-05/07/2024,1300-1350,LOPEZ 106,3,CLAS,General Chemistry II,Ujith S. Madduma Bandarage,1,70,69,0,N/A,Bookstore Link
35454,CHEM 1225-03,M, MTWR  ,01/16/2024-05/07/2024,1700-1750,LOPEZ 106,3,CLAS,General Chemistry II(Advanced),Jeff A. Altig,1,31,30,0,N/A,Bookstore Link
34082,CHEM 1225L-01,M, M     ,01/16/2024-05/07/2024,1400-1630,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,6,24,18,0,$155,Bookstore Link
34083,CHEM 1225L-02,M, M     ,01/16/2024-05/07/2024,1830-2100,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,14,24,10,0,$155,Bookstore Link
34084,CHEM 1225L-03,M,  T    ,01/16/2024-05/07/2024,1400-1630,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,1,24,23,0,$155,Bookstore Link
35473,CHEM 1225L-04,M,  T    ,01/16/2024-05/07/2024,1830-2100,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,1,24,23,0,$155,Bookstore Link
35475,CHEM 1225L-05,M,   W   ,01/16/2024-05/07/2024,1400-1630,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,0,24,24,0,$155,Bookstore Link
35477,CHEM 1225L-06,M,   W   ,01/16/2024-05/07/2024,1830-2100,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,11,24,13,0,$155,Bookstore Link
35479,CHEM 1225L-07,M,    R  ,01/16/2024-05/07/2024,1400-1630,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,1,24,23,0,$155,Bookstore Link
35480,CHEM 1225L-08,M,    R  ,01/16/2024-05/07/2024,1830-2100,LOPEZ 134,1,CLAS,General Chemistry II Lab,Jeff A. Altig,2,24,22,0,$155,Bookstore Link
34196,CHEM 3000-01,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Jeff A. Altig,5,5,0,0,N/A,Bookstore Link
34197,CHEM 3000-02,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Sally C. Pias,4,5,1,0,N/A,Bookstore Link
34198,CHEM 3000-03,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Menake E. Piyasena,4,5,1,0,N/A,Bookstore Link
34199,CHEM 3000-04,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Gayan R. Rubasinghege,5,5,0,0,N/A,Bookstore Link
34200,CHEM 3000-05,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Praveen Patidar,3,5,2,0,N/A,Bookstore Link
34201,CHEM 3000-06,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Nicolas E. Holubowitch,4,5,1,0,N/A,Bookstore Link
35492,CHEM 3000-07,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Mark R. Ams,3,5,2,0,N/A,Bookstore Link
35494,CHEM 3000-08,M, ,01/16/2024-05/07/2024,None, ,1,CLAS,Directed Research,Megha Khandelwal,5,5,0,0,N/A,Bookstore Link
35498,CHEM 3001-01,M,   W   ,01/16/2024-05/07/2024,1700-1750,LOPEZ 216,1,CLAS,The Chemistry Toolbox,Gayan R. Rubasinghege,3,10,7,0,N/A,Bookstore Link
35499,CHEM 3032-01,M, M W F ,01/16/2024-05/07/2024,1200-1250,JONESA 102,3,CLAS,Physical Chemistry II,Nicolas E. Holubowitch,12,20,8,0,N/A,Bookstore Link
35708,CHEM 3032L-01,M,   W   ,01/16/2024-05/07/2024,1400-1630,LOPEZ 127,1,CLAS,Physical Chemistry II Lab,Jeff A. Altig,0,8,8,0,$155,Bookstore Link
35515,CHEM 3034-01,M, M W F ,01/16/2024-05/07/2024,0900-0950,LOPEZ 106,3,CLAS,Organic Chemistry II,Mark R. Ams,3,40,37,0,N/A,Bookstore Link
